Model,Accuracy,F1-Macro,F1-Weighted,ROC-AUC,PR-AUC
Logistic Regression,0.9962,0.993,0.9962,0.9998,1.0
LinearSVC (calibrated),0.9984,0.9971,0.9984,1.0,1.0
